Question,Location,Answer,Count
Main Occupation of the Household Head _ HH,Silibwet Township,Firewood/charcoal,1
Main Occupation of the Household Head _ HH,Kong' sis,Livestock herding,5
Main Occupation of the Household Head _ HH,Kong' sis,Employed (salaried),9
Main Occupation of the Household Head _ HH,Kong' sis,Waged labour (Casual),12
Main Occupation of the Household Head _ HH,Kong' sis,Own farm labour,49
Main Occupation of the Household Head _ HH,Kong' sis,Merchant/trader,3
Main Occupation of the Household Head _ HH,Kong' sis,Petty trade,1
Main Occupation of the Household Head _ HH,Kong' sis,Not Applicable,1
Main Occupation of the Household Head _ HH,Kong' sis,Firewood/charcoal,0
Main Occupation of the Household Head _ HH,Nyangores,Livestock herding,1
Main Occupation of the Household Head _ HH,Nyangores,Employed (salaried),14
Main Occupation of the Household Head _ HH,Nyangores,Waged labour (Casual),29
Main Occupation of the Household Head _ HH,Nyangores,Own farm labour,30
Main Occupation of the Household Head _ HH,Nyangores,Merchant/trader,5
Main Occupation of the Household Head _ HH,Nyangores,Petty trade,12
Main Occupation of the Household Head _ HH,Nyangores,Not Applicable,9
Main Occupation of the Household Head _ HH,Nyangores,Firewood/charcoal,1
Main Occupation of the Household Head _ HH,Mutarakwa,Livestock herding,1
Main Occupation of the Household Head _ HH,Mutarakwa,Employed (salaried),4
Main Occupation of the Household Head _ HH,Mutarakwa,Waged labour (Casual),17
Main Occupation of the Household Head _ HH,Mutarakwa,Own farm labour,34
Main Occupation of the Household Head _ HH,Mutarakwa,Merchant/trader,0
Main Occupation of the Household Head _ HH,Mutarakwa,Petty trade,2
Main Occupation of the Household Head _ HH,Mutarakwa,Not Applicable,0
Main Occupation of the Household Head _ HH,Mutarakwa,Firewood/charcoal,0
Main Occupation of the Household Head _ HH,Chebunyo,Livestock herding,1
Main Occupation of the Household Head _ HH,Chebunyo,Employed (salaried),17
Main Occupation of the Household Head _ HH,Chebunyo,Waged labour (Casual),20
Main Occupation of the Household Head _ HH,Chebunyo,Own farm labour,31
Main Occupation of the Household Head _ HH,Chebunyo,Merchant/trader,7
Main Occupation of the Household Head _ HH,Chebunyo,Petty trade,11
Main Occupation of the Household Head _ HH,Chebunyo,Not Applicable,5
Main Occupation of the Household Head _ HH,Chebunyo,Firewood/charcoal,0
Main Occupation of the Household Head _ HH,Ndaraweta,Livestock herding,0
Main Occupation of the Household Head _ HH,Ndaraweta,Employed (salaried),5
Main Occupation of the Household Head _ HH,Ndaraweta,Waged labour (Casual),11
Main Occupation of the Household Head _ HH,Ndaraweta,Own farm labour,43
Main Occupation of the Household Head _ HH,Ndaraweta,Merchant/trader,0
Main Occupation of the Household Head _ HH,Ndaraweta,Petty trade,1
Main Occupation of the Household Head _ HH,Ndaraweta,Not Applicable,0
Main Occupation of the Household Head _ HH,Ndaraweta,Firewood/charcoal,0
Main Occupation of the Household Head _ HH,Cheseon,Livestock herding,1
Main Occupation of the Household Head _ HH,Cheseon,Employed (salaried),9
Main Occupation of the Household Head _ HH,Cheseon,Waged labour (Casual),15
Main Occupation of the Household Head _ HH,Cheseon,Own farm labour,60
Main Occupation of the Household Head _ HH,Cheseon,Merchant/trader,0
Main Occupation of the Household Head _ HH,Cheseon,Petty trade,2
Main Occupation of the Household Head _ HH,Cheseon,Not Applicable,5
Main Occupation of the Household Head _ HH,Cheseon,Firewood/charcoal,0
Where do you store water for drinking?,Sigor,Open container / Jerrican,15
Where do you store water for drinking?,Sigor,Closed container / Jerrican,83
Where do you store water for drinking?,Siongiroi,Open container / Jerrican,12
Where do you store water for drinking?,Siongiroi,Closed container / Jerrican,72
Where do you store water for drinking?,Singorwet,Open container / Jerrican,6
Where do you store water for drinking?,Singorwet,Closed container / Jerrican,53
Where do you store water for drinking?,Silibwet Township,Open container / Jerrican,6
Where do you store water for drinking?,Silibwet Township,Closed container / Jerrican,70
Where do you store water for drinking?,Kong' sis,Open container / Jerrican,17
Where do you store water for drinking?,Kong' sis,Closed container / Jerrican,63
Where do you store water for drinking?,Nyangores,Open container / Jerrican,8
Where do you store water for drinking?,Nyangores,Closed container / Jerrican,93
Where do you store water for drinking?,Mutarakwa,Open container / Jerrican,7
Where do you store water for drinking?,Mutarakwa,Closed container / Jerrican,51
Where do you store water for drinking?,Chebunyo,Open container / Jerrican,19
Where do you store water for drinking?,Chebunyo,Closed container / Jerrican,73
Where do you store water for drinking?,Ndaraweta,Open container / Jerrican,8
Where do you store water for drinking?,Ndaraweta,Closed container / Jerrican,52
Where do you store water for drinking?,Cheseon,Open container / Jerrican,10
Where do you store water for drinking?,Cheseon,Closed container / Jerrican,82
What do you usually do to make the water safer to drink?,Sigor, ,24
What do you usually do to make the water safer to drink?,Sigor,Use water filter (ceramic),0
What do you usually do to make the water safer to drink?,Sigor,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Sigor,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Sigor,Other,0
What do you usually do to make the water safer to drink?,Sigor,Add bleach/chlorine,20
What do you usually do to make the water safer to drink?,Sigor,Let it stand and settle,2
What do you usually do to make the water safer to drink?,Sigor,Don't know,1
What do you usually do to make the water safer to drink?,Sigor,Boil,51
What do you usually do to make the water safer to drink?,Siongiroi, ,19
What do you usually do to make the water safer to drink?,Siongiroi,Use water filter (ceramic),10
What do you usually do to make the water safer to drink?,Siongiroi,Sand/composite/etc.,1
What do you usually do to make the water safer to drink?,Siongiroi,Strain through a cloth,1
What do you usually do to make the water safer to drink?,Siongiroi,Other,0
What do you usually do to make the water safer to drink?,Siongiroi,Add bleach/chlorine,13
What do you usually do to make the water safer to drink?,Siongiroi,Let it stand and settle,0
What do you usually do to make the water safer to drink?,Siongiroi,Don't know,0
What do you usually do to make the water safer to drink?,Siongiroi,Boil,40
What do you usually do to make the water safer to drink?,Singorwet, ,19
What do you usually do to make the water safer to drink?,Singorwet,Use water filter (ceramic),4
What do you usually do to make the water safer to drink?,Singorwet,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Singorwet,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Singorwet,Other,3
What do you usually do to make the water safer to drink?,Singorwet,Add bleach/chlorine,6
What do you usually do to make the water safer to drink?,Singorwet,Let it stand and settle,2
What do you usually do to make the water safer to drink?,Singorwet,Don't know,0
What do you usually do to make the water safer to drink?,Singorwet,Boil,25
What do you usually do to make the water safer to drink?,Silibwet Township, ,24
What do you usually do to make the water safer to drink?,Silibwet Township,Use water filter (ceramic),0
What do you usually do to make the water safer to drink?,Silibwet Township,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Silibwet Township,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Silibwet Township,Other,1
What do you usually do to make the water safer to drink?,Silibwet Township,Add bleach/chlorine,3
What do you usually do to make the water safer to drink?,Silibwet Township,Let it stand and settle,1
What do you usually do to make the water safer to drink?,Silibwet Township,Don't know,0
What do you usually do to make the water safer to drink?,Silibwet Township,Boil,47
What do you usually do to make the water safer to drink?,Kong' sis, ,14
What do you usually do to make the water safer to drink?,Kong' sis,Use water filter (ceramic),4
What do you usually do to make the water safer to drink?,Kong' sis,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Kong' sis,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Kong' sis,Other,0
What do you usually do to make the water safer to drink?,Kong' sis,Add bleach/chlorine,5
What do you usually do to make the water safer to drink?,Kong' sis,Let it stand and settle,1
What do you usually do to make the water safer to drink?,Kong' sis,Don't know,0
What do you usually do to make the water safer to drink?,Kong' sis,Boil,56
What do you usually do to make the water safer to drink?,Nyangores, ,64
What do you usually do to make the water safer to drink?,Nyangores,Use water filter (ceramic),2
